Zone,Année,Population,Exportations (t),Importations (t),Nourriture (t),Production (t),Country Code,Stabilité politique,PIB,Infrastructures,Douanes (%),dist
Lituanie,2017,2845414.0,68000.0,44000.0,80000.0,118000.0,LTU,0.765565991401672,16800.1510246099,3.571429,2.48,1700.296
Luxembourg,2017,591910.0,1000.0,11000.0,11000.0,0.0,LUX,1.3128936290741,110193.213797228,4.235,,289.1023
Macédoine du Nord,2017,2081996.0,1000.0,40000.0,41000.0,2000.0,MKD,-0.258880764245987,5955.2973863451,2.581145,3.35,1672.04
Madagascar,2017,25570512.0,8000.0,0.0,73000.0,81000.0,MDG,-0.302837282419205,491.866848718929,2.118222,6.91,8763.332
Malaisie,2017,31104646.0,44000.0,68000.0,1220000.0,1724000.0,MYS,0.111209630966187,9862.54806612235,3.447615,,10436.4
Malawi,2017,17670196.0,39000.0,0.0,91000.0,130000.0,MWI,-0.249828174710274,495.769683367165,,,7650.657
Maldives,2017,496402.0,0.0,12000.0,7000.0,0.0,MDV,0.224531978368759,10509.628805812,2.567635,11.14,8294.178
Mali,2017,18512430.0,0.0,1000.0,52000.0,48000.0,MLI,-1.90349173545837,924.057531692284,2.299231,12.82,4139.756
Malte,2017,437933.0,0.0,9000.0,12000.0,4000.0,MLT,1.23830890655518,30317.2443357939,2.942857,2.48,1752.693
Maroc,2017,35581255.0,1000.0,3000.0,746000.0,762000.0,MAR,-0.37808883190155,3296.52661132813,2.46142,4.34,1816.853
Maurice,2017,1264499.0,0.0,2000.0,48000.0,48000.0,MUS,0.962365567684174,10841.6847754844,,1.25,9422.744
Mauritanie,2017,4282570.0,7000.0,24000.0,22000.0,5000.0,MRT,-0.629497766494751,1615.00401327323,1.542857,,3794.96
Mexique,2017,124777324.0,9000.0,972000.0,4058000.0,3249000.0,MEX,-0.806419789791107,9649.27816772402,2.890923,2.97,9206.813
Mongolie,2017,3113786.0,1000.0,10000.0,9000.0,0.0,MNG,0.783372223377228,3645.96708669551,2.051282,5.06,7053.423
Monténégro,2017,627563.0,0.0,8000.0,10000.0,4000.0,MNE,-0.0625774934887886,7758.36921956034,2.068271,1.77,1600.0
Mozambique,2017,28649018.0,13000.0,24000.0,103000.0,92000.0,MOZ,-0.918098509311676,470.93856305196,2.238017,,8855.655
Myanmar,2017,53382523.0,0.0,3000.0,1621000.0,1662000.0,MMR,-1.08409464359283,1272.82241830603,2.329592,,8892.726
Namibie,2017,2402633.0,12000.0,29000.0,28000.0,11000.0,NAM,0.621906340122223,5143.96072323076,2.763889,6.05,8084.97
Nicaragua,2017,6384846.0,0.0,6000.0,138000.0,143000.0,NIC,-0.0538226664066315,2182.61380995674,2.49933,3.48,8906.699
Niger,2017,21602382.0,0.0,3000.0,20000.0,19000.0,NER,-1.25950562953949,521.804130023434,2.222419,13.27,3932.638
Nigéria,2017,190873244.0,0.0,0.0,192000.0,201000.0,NGA,-1.99671792984009,1876.34027111773,2.398846,,4722.149
Norvège,2017,5296326.0,0.0,2000.0,101000.0,101000.0,NOR,1.15070176124573,76131.8384032764,3.9545,3.62,1342.89
Nouvelle-Calédonie,2017,277150.0,0.0,9000.0,11000.0,1000.0,NCL,,32354.7102832901,,,16757.74
Nouvelle-Zélande,2017,4702034.0,23000.0,1000.0,164000.0,223000.0,NZL,1.56194603443146,42950.3841711138,3.549123,2.13,19263.88
Népal,2017,27632681.0,3000.0,0.0,55000.0,58000.0,NPL,-0.583756744861603,1034.28374906846,2.266667,,7244.016
Oman,2017,4665928.0,16000.0,126000.0,101000.0,7000.0,OMN,0.749312877655029,17820.0661809335,3.436481,3.66,5620.005
Ouganda,2017,41166588.0,0.0,0.0,62000.0,65000.0,UGA,-0.569948732852936,765.218332297361,2.739724,,6128.938
Pakistan,2017,207906209.0,4000.0,2000.0,1218000.0,1281000.0,PAK,-2.39691209793091,1519.23459514248,2.697275,,5932.586
Panama,2017,4106769.0,0.0,20000.0,139000.0,198000.0,PAN,0.380334168672562,15694.6297454295,3.281587,,8671.104
